NTAName,NTACode,DisplacementRiskIndex,PopulationVulnerability,HousingConditions,MarketPressure,NotWhite,Below2xPovertyRate,Below2xPovertyRate_MOE,LimitedEnglishProficiency,LimitedEnglishProficiency_MOE,SevereRentBurdenVsCity,SevereRentBurden,SevereRentBurden_MOE,RentalHousing,RentalHousing_MOE,NotIncomeRestricted,NotRentStabilizedVsCity,NotRentStabilized,NotRentStabilized_MOE,3PlusMaintenanceDeficienciesVsCity,3PlusMaintenanceDeficiencies,3PlusMaintenanceDeficiencies_MOE,ChangeInRentsVsCity,ChangeInRents,ChangeInRents_MOE,SalesPriceAppreciation,ChangeInPopulationWithBachelorsDegreesVsCity,ChangeInPopulationWithBachelorsDegrees,ChangeInPopulationWithBachelorsDegrees_MOE,Adjacency
Elmhurst,QN29,Highest,Highest,Intermediate,Lowest,95.2,41,1.6,49,2,Larger proportion of severely rent burdened households than City,33.3,2.7,72.2,1.8,100,No statistical difference from the City in the proportion of rent-stabilized households,50.4,10.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.6,4.4,No statistical difference in rent change from City,133,60,3.318736579,No statistical difference from the City in the percent change of population with a bachelor's degree,11.4,10.1,Not adjacent to neighborhoods with high Market Pressure scores
Elmhurst-Maspeth,QN50,Intermediate,Intermediate,Intermediate,Lowest,90.5,35.3,2.5,47,3,No statistical difference from the City in the proportion of severely rent burdened households,26,4.1,62.1,3.1,99.2,No statistical difference from the City in the proportion of rent-stabilized households,52.8,8.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,8.9,3.7,No statistical difference in rent change from City,167,137,3.028023846,Smaller percent change of population with a bachelor's degree than the City,1.6,14,Not adjacent to neighborhoods with high Market Pressure scores
Erasmus,BK95,Intermediate,Intermediate,Higher,Higher,93.4,33,2.3,10,2,No statistical difference from the City in the proportion of severely rent burdened households,28.1,3.5,76.4,2.7,97,No statistical difference from the City in the proportion of rent-stabilized households,51.8,9.9,Larger proportion of units with 3+ maintenance deficiencies than the City,15.7,4.2,No statistical difference in rent change from City,200,67,3.205702925,Larger percent change of population with a bachelor's degree than the City,64.7,28.5,Adjacent to neighborhoods with high Market Pressure scores
Far Rockaway-Bayswater,QN15,Intermediate,Intermediate,Intermediate,Lowest,75.1,41.3,2.4,12,2,No statistical difference from the City in the proportion of severely rent burdened households,28.5,3.5,76.3,2.3,86.5,No statistical difference from the City in the proportion of rent-stabilized households,38,11.1,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.7,4.4,No statistical difference in rent change from City,210,69,2.636844026,No statistical difference from the City in the percent change of population with a bachelor's degree,29.2,18.2,Not adjacent to neighborhoods with high Market Pressure scores
Flatbush,BK42,Highest,Higher,Intermediate,Highest,76.5,39.9,1.4,19,1,Larger proportion of severely rent burdened households than City,31,1.9,82.1,1.1,97.3,Larger proportion of households in rent-stabilized units than City,72.1,6.6,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.8,4.4,Larger rent change than City,229,39,3.335234441,Larger percent change of population with a bachelor's degree than the City,45,10.4,Not adjacent to neighborhoods with high Market Pressure scores
Flatlands,BK58,Lower,Lower,Intermediate,Lowest,85.5,25.3,1.3,12,1,Smaller proportion of severely rent burdened households than City,24.9,2.9,41.5,1.7,95,Smaller proportion of households in rent-stabilized units than City,11.7,5.7,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.3,3.4,No statistical difference in rent change from City,242,83,2.536485214,No statistical difference from the City in the percent change of population with a bachelor's degree,15.4,9.6,Not adjacent to neighborhoods with high Market Pressure scores
Flushing,QN22,Highest,Highest,Intermediate,Lowest,94.2,53.1,2.3,66,2,Larger proportion of severely rent burdened households than City,46.7,3.2,75,2,96.3,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,Smaller rent change than City,89,64,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-27,8,Not adjacent to neighborhoods with high Market Pressure scores
Fordham South,BX40,Highest,Highest,Higher,Lowest,98.4,67.3,3.7,35,3,Larger proportion of severely rent burdened households than City,43.7,4.3,98.5,1,91.5,Larger proportion of households in rent-stabilized units than City,77,7.4,Larger proportion of units with 3+ maintenance deficiencies than the City,34,7,Smaller rent change than City,86,61,3.527071611,No statistical difference from the City in the percent change of population with a bachelor's degree,-4.9,29.6,Not adjacent to neighborhoods with high Market Pressure scores
Forest Hills,QN17,Lower,Lower,Lower,Lowest,53.3,18.9,1.2,22,1,No statistical difference from the City in the proportion of severely rent burdened households,27.7,2.4,52.4,1.7,98.4,Larger proportion of households in rent-stabilized units than City,68,9.3,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.2,2.6,No statistical difference in rent change from City,247,71,2.733304013,Smaller percent change of population with a bachelor's degree than the City,8.7,5.9,Not adjacent to neighborhoods with high Market Pressure scores
Fort Greene,BK68,Intermediate,Lower,Higher,Lower,65.8,34.7,2.3,9,1,Smaller proportion of severely rent burdened households than City,18.1,2.4,77.5,1.7,74.4,Smaller proportion of households in rent-stabilized units than City,24.5,5.8,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,7.8,3.7,No statistical difference in rent change from City,235,259,3.718974435,No statistical difference from the City in the percent change of population with a bachelor's degree,40.4,13.7,Adjacent to neighborhoods with high Market Pressure scores
Fresh Meadows-Utopia,QN41,Intermediate,Lower,Intermediate,Lowest,74.5,25.1,3.1,28,4,No statistical difference from the City in the proportion of severely rent burdened households,33.1,6.2,58.1,2.7,100,Smaller proportion of households in rent-stabilized units than City,34.5,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.1,2.1,No statistical difference in rent change from City,205,99,2.772153072,Smaller percent change of population with a bachelor's degree than the City,10,15.7,Not adjacent to neighborhoods with high Market Pressure scores
Ft. Totten-Bay Terrace-Clearview,QN47,Lower,Lower,Lower,Lowest,46.6,14,2,20,3,Smaller proportion of severely rent burdened households than City,20.8,6,24.6,3.1,100,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,No statistical difference in rent change from City,325,225,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-0.4,13.1,Not adjacent to neighborhoods with high Market Pressure scores
Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Lowest,Lowest,Intermediate,Lowest,36.5,16.8,1.4,13,1,No statistical difference from the City in the proportion of severely rent burdened households,30,4.8,24.4,2.2,100,Smaller proportion of households in rent-stabilized units than City,11.7,5.7,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.3,3.4,No statistical difference in rent change from City,53,147,2.536485214,No statistical difference from the City in the percent change of population with a bachelor's degree,7.6,9.6,Not adjacent to neighborhoods with high Market Pressure scores
Glen Oaks-Floral Park-New Hyde Park,QN44,Lowest,Lower,Intermediate,Lowest,64.3,17,2.3,15,2,No statistical difference from the City in the proportion of severely rent burdened households,21.6,8.1,24.2,3.6,100,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,214,197,2.820302116,Smaller percent change of population with a bachelor's degree than the City,-3.7,12.8,Not adjacent to neighborhoods with high Market Pressure scores
Glendale,QN19,Lowest,Lowest,Lower,Higher,49.6,19,1.6,17,2,No statistical difference from the City in the proportion of severely rent burdened households,25.6,3.9,51.1,2.5,99,No statistical difference from the City in the proportion of rent-stabilized households,39.4,9.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,2.4,1.4,No statistical difference in rent change from City,175,99,3.106894805,Larger percent change of population with a bachelor's degree than the City,50.8,19.3,Adjacent to neighborhoods with high Market Pressure scores
Gramercy,MN21,Lowest,Lowest,Lower,Higher,31.9,13,2.4,4,1,Smaller proportion of severely rent burdened households than City,22.2,4.6,59.2,3.3,97.8,No statistical difference from the City in the proportion of rent-stabilized households,42.9,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,1.8,Larger rent change than City,506,189,2.144265157,Smaller percent change of population with a bachelor's degree than the City,-7.6,9.6,Adjacent to neighborhoods with high Market Pressure scores
Grasmere-Arrochar-Ft. Wadsworth,SI14,Lower,Lower,Lower,Lowest,46.2,29.1,3.3,19,2,No statistical difference from the City in the proportion of severely rent burdened households,28.9,7.7,36.9,3.7,90.5,Smaller proportion of households in rent-stabilized units than City,2.8,4.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.1,No statistical difference in rent change from City,188,334,2.470837359,No statistical difference from the City in the percent change of population with a bachelor's degree,17.5,18.5,Not adjacent to neighborhoods with high Market Pressure scores
Gravesend,BK26,Higher,Intermediate,Lower,Higher,57.7,43.5,2.8,37,3,No statistical difference from the City in the proportion of severely rent burdened households,31.1,4.4,65.9,2.6,85.2,No statistical difference from the City in the proportion of rent-stabilized households,47.1,11.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.9,3.1,No statistical difference in rent change from City,176,137,2.881348945,Larger percent change of population with a bachelor's degree than the City,52.3,24,Adjacent to neighborhoods with high Market Pressure scores
Great Kills,SI54,Lowest,Lowest,Intermediate,Lowest,20.4,12.2,1.4,8,1,No statistical difference from the City in the proportion of severely rent burdened households,27.2,8.5,16.8,2.7,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,No statistical difference in rent change from City,304,251,2.250587947,No statistical difference from the City in the percent change of population with a bachelor's degree,28.9,14.3,Not adjacent to neighborhoods with high Market Pressure scores
Greenpoint,BK76,Lower,Lowest,Intermediate,Highest,29.5,20.9,1.7,15,2,Smaller proportion of severely rent burdened households than City,21.3,2.8,82.5,1.8,90.5,No statistical difference from the City in the proportion of rent-stabilized households,41.5,8.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.2,3.7,Larger rent change than City,656,114,3.494413696,Larger percent change of population with a bachelor's degree than the City,50.5,13,Not adjacent to neighborhoods with high Market Pressure scores
Grymes Hill-Clifton-Fox Hills,SI08,Lower,Lower,Intermediate,Lowest,77.5,34.1,4.7,12,3,No statistical difference from the City in the proportion of severely rent burdened households,29.6,8.8,59.8,5,94.8,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,No statistical difference in rent change from City,80,163,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,11.4,20.5,Not adjacent to neighborhoods with high Market Pressure scores
Hamilton Heights,MN04,Higher,Intermediate,Higher,Highest,80.9,44.7,2.5,21,2,No statistical difference from the City in the proportion of severely rent burdened households,28.2,3,85.6,1.8,93.5,Larger proportion of households in rent-stabilized units than City,53.2,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,23.2,6,Larger rent change than City,300,86,2.831353591,Larger percent change of population with a bachelor's degree than the City,51.8,18.3,Not adjacent to neighborhoods with high Market Pressure scores
Hammels-Arverne-Edgemere,QN12,Intermediate,Intermediate,Lower,Lowest,85.5,45.9,2.5,13,2,Smaller proportion of severely rent burdened households than City,21.3,3,66.5,2.7,65.3,No statistical difference from the City in the proportion of rent-stabilized households,38,11.1,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.7,4.4,No statistical difference in rent change from City,159,115,2.636844026,No statistical difference from the City in the percent change of population with a bachelor's degree,56.4,26.2,Not adjacent to neighborhoods with high Market Pressure scores
Highbridge,BX26,Highest,Highest,Higher,Lowest,98.2,62.4,3.2,31,3,Larger proportion of severely rent burdened households than City,37.5,3.7,96.6,1.1,82.3,Larger proportion of households in rent-stabilized units than City,87.5,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,25.9,6.1,Smaller rent change than City,115,67,3.254752061,No statistical difference from the City in the percent change of population with a bachelor's degree,70.7,41,Not adjacent to neighborhoods with high Market Pressure scores
Hollis,QN07,Lower,Lower,Intermediate,Lowest,97.6,23.4,2,13,3,No statistical difference from the City in the proportion of severely rent burdened households,29.4,5.7,44.1,3.5,100,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,No statistical difference in rent change from City,91,140,2.726457289,No statistical difference from the City in the percent change of population with a bachelor's degree,19.2,21.4,Not adjacent to neighborhoods with high Market Pressure scores
Homecrest,BK25,Higher,Higher,Intermediate,Highest,29.6,38.1,1.8,32,2,Larger proportion of severely rent burdened households than City,32.2,3.1,64,2.1,99.5,No statistical difference from the City in the proportion of rent-stabilized households,48,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,Larger rent change than City,266,77,2.73232833,Larger percent change of population with a bachelor's degree than the City,24.4,12.4,Not adjacent to neighborhoods with high Market Pressure scores
Hudson Yards-Chelsea-Flatiron-Union Square,MN13,Lowest,Lowest,Lower,Highest,41.9,18.2,1.4,8,1,Smaller proportion of severely rent burdened households than City,17.5,2.1,71,1.7,89.2,No statistical difference from the City in the proportion of rent-stabilized households,45.4,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.9,2.1,Larger rent change than City,412,177,2.218882145,Larger percent change of population with a bachelor's degree than the City,32.1,7.9,Not adjacent to neighborhoods with high Market Pressure scores
Hunters Point-Sunnyside-West Maspeth,QN31,Intermediate,Lower,Intermediate,Highest,63.7,25.4,1.3,27,2,Smaller proportion of severely rent burdened households than City,21.5,1.9,78.4,1.6,95.3,No statistical difference from the City in the proportion of rent-stabilized households,52.8,8.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,8.9,3.7,Larger rent change than City,441,70,3.028023846,Larger percent change of population with a bachelor's degree than the City,77.2,13.2,Not adjacent to neighborhoods with high Market Pressure scores
Hunts Point,BX27,Highest,Highest,Higher,Lowest,98.3,67.6,2.4,30,3,Larger proportion of severely rent burdened households than City,36,4.1,91.5,1.8,74.3,No statistical difference from the City in the proportion of rent-stabilized households,48.8,11.4,Larger proportion of units with 3+ maintenance deficiencies than the City,23.7,6.4,Smaller rent change than City,32,93,2.868034381,No statistical difference from the City in the percent change of population with a bachelor's degree,90.6,52.2,Not adjacent to neighborhoods with high Market Pressure scores
Jackson Heights,QN28,Higher,Highest,Intermediate,Lowest,85.4,36.5,1.6,43,2,Larger proportion of severely rent burdened households than City,35.2,2.8,60.9,1.9,100,No statistical difference from the City in the proportion of rent-stabilized households,50,10.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.1,3.3,No statistical difference in rent change from City,171,60,3.104704667,Smaller percent change of population with a bachelor's degree than the City,-5.9,7.8,Not adjacent to neighborhoods with high Market Pressure scores
Jamaica,QN61,Higher,Higher,Higher,Intermediate,96.8,45.2,1.8,34,2,No statistical difference from the City in the proportion of severely rent burdened households,30.1,2.8,73.9,2,84.3,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,No statistical difference in rent change from City,176,66,2.726457289,Larger percent change of population with a bachelor's degree than the City,47.9,18.2,Not adjacent to neighborhoods with high Market Pressure scores
Jamaica Estates-Holliswood,QN06,Intermediate,Intermediate,Intermediate,Lowest,79.7,20.9,2.2,20,2,Smaller proportion of severely rent burdened households than City,23.6,4.6,46.8,3.1,99.6,Smaller proportion of households in rent-stabilized units than City,34.5,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.1,2.1,No statistical difference in rent change from City,208,115,2.772153072,No statistical difference from the City in the percent change of population with a bachelor's degree,23.5,14.9,Not adjacent to neighborhoods with high Market Pressure scores
Kensington-Ocean Parkway,BK41,Highest,Higher,Intermediate,Higher,59.2,41.8,2.4,26,2,Larger proportion of severely rent burdened households than City,34.5,3.4,65.1,2.6,100,No statistical difference from the City in the proportion of rent-stabilized households,46.6,7.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.4,3.4,Larger rent change than City,318,91,3.683396314,No statistical difference from the City in the percent change of population with a bachelor's degree,22.5,13.1,Adjacent to neighborhoods with high Market Pressure scores
Kew Gardens,QN60,Lower,Lower,Higher,Lowest,60,24.5,2.6,21,2,No statistical difference from the City in the proportion of severely rent burdened households,30.9,4,62.9,3.3,99.7,Smaller proportion of households in rent-stabilized units than City,33.4,10.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,2.3,No statistical difference in rent change from City,208,106,2.886296822,Smaller percent change of population with a bachelor's degree than the City,-4.4,11.4,Not adjacent to neighborhoods with high Market Pressure scores
Kew Gardens Hills,QN37,Higher,Higher,Intermediate,Lowest,55.6,30.7,2.6,22,2,Larger proportion of severely rent burdened households than City,33.7,4.4,48.8,3.1,100,Smaller proportion of households in rent-stabilized units than City,34.5,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.1,2.1,No statistical difference in rent change from City,207,117,2.772153072,Smaller percent change of population with a bachelor's degree than the City,-8.9,9.8,Not adjacent to neighborhoods with high Market Pressure scores
Kingsbridge Heights,BX30,Highest,Highest,Higher,Lowest,95.8,59.5,3.2,36,3,Larger proportion of severely rent burdened households than City,37.2,4.4,87.4,1.5,92.7,Larger proportion of households in rent-stabilized units than City,88.2,6,Larger proportion of units with 3+ maintenance deficiencies than the City,29,5.9,No statistical difference in rent change from City,125,79,3.068836533,Smaller percent change of population with a bachelor's degree than the City,-8.6,19.3,Not adjacent to neighborhoods with high Market Pressure scores
Laurelton,QN66,Lower,Lower,Intermediate,Lowest,98.7,14.6,1.4,5,1,No statistical difference from the City in the proportion of severely rent burdened households,29.3,6.4,20.8,2.4,99.9,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,136,247,2.820302116,No statistical difference from the City in the percent change of population with a bachelor's degree,19,15.8,Not adjacent to neighborhoods with high Market Pressure scores
Lenox Hill-Roosevelt Island,MN31,Lowest,Lowest,Higher,Lowest,30.8,10.6,1.4,6,1,Smaller proportion of severely rent burdened households than City,20.9,3,71.3,2.4,99,Smaller proportion of households in rent-stabilized units than City,33.3,5.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.7,1.8,No statistical difference in rent change from City,251,88,1.978976714,Smaller percent change of population with a bachelor's degree than the City,-1.7,6.4,Not adjacent to neighborhoods with high Market Pressure scores
Lincoln Square,MN14,Lowest,Lowest,Higher,Lowest,33.5,15.5,1.8,6,1,Smaller proportion of severely rent burdened households than City,18.6,2.8,62.2,2.2,95.7,Smaller proportion of households in rent-stabilized units than City,36.4,6.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.4,2.8,No statistical difference in rent change from City,229,231,1.92961762,Smaller percent change of population with a bachelor's degree than the City,5.3,7,Not adjacent to neighborhoods with high Market Pressure scores
Lindenwood-Howard Beach,QN57,Lowest,Lower,Intermediate,Lowest,37.3,24.3,2.8,10,2,No statistical difference from the City in the proportion of severely rent burdened households,35.3,9.6,27.2,3.4,100,Smaller proportion of households in rent-stabilized units than City,1.6,2.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.7,No statistical difference in rent change from City,67,178,2.701232846,No statistical difference from the City in the percent change of population with a bachelor's degree,13.9,20.7,Not adjacent to neighborhoods with high Market Pressure scores
Longwood,BX33,Highest,Highest,Higher,Higher,98.3,64.2,3.1,28,3,Larger proportion of severely rent burdened households than City,36.5,3.9,89.5,1.9,80.9,No statistical difference from the City in the proportion of rent-stabilized households,48.8,11.4,Larger proportion of units with 3+ maintenance deficiencies than the City,23.7,6.4,No statistical difference in rent change from City,102,89,2.868034381,Larger percent change of population with a bachelor's degree than the City,115.2,55.4,Adjacent to neighborhoods with high Market Pressure scores
Lower East Side,MN28,Higher,Intermediate,Highest,Lowest,76,52.7,2.2,27,2,Smaller proportion of severely rent burdened households than City,20.2,2.1,85.3,1.1,52.6,Smaller proportion of households in rent-stabilized units than City,36.6,7.9,Larger proportion of units with 3+ maintenance deficiencies than the City,17.5,3.4,Smaller rent change than City,50,85,2.889143143,Smaller percent change of population with a bachelor's degree than the City,6,9.5,Not adjacent to neighborhoods with high Market Pressure scores
Madison,BK44,Intermediate,Intermediate,Lower,Lower,39.2,29.2,1.6,33,2,No statistical difference from the City in the proportion of severely rent burdened households,30.9,3,53.1,1.9,99.7,No statistical difference from the City in the proportion of rent-stabilized households,48,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,253,85,2.73232833,No statistical difference from the City in the percent change of population with a bachelor's degree,6.7,9.6,Adjacent to neighborhoods with high Market Pressure scores
Manhattanville,MN06,Higher,Higher,Higher,Higher,85.6,55,4.1,27,3,No statistical difference from the City in the proportion of severely rent burdened households,30.8,4.3,94.7,2,76.7,Larger proportion of households in rent-stabilized units than City,53.2,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,23.2,6,No statistical difference in rent change from City,275,135,2.831353591,Larger percent change of population with a bachelor's degree than the City,61.7,31.5,Adjacent to neighborhoods with high Market Pressure scores
Marble Hill-Inwood,MN01,Higher,Higher,Higher,Lowest,83,44.7,2.6,31,3,No statistical difference from the City in the proportion of severely rent burdened households,26.8,2.9,91.8,1.1,84.9,Larger proportion of households in rent-stabilized units than City,77,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,15.1,3.6,No statistical difference in rent change from City,184,62,2.995214115,No statistical difference from the City in the percent change of population with a bachelor's degree,20.1,14.3,Not adjacent to neighborhoods with high Market Pressure scores
Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,Higher,Higher,Lower,Lowest,80.2,34.2,2.4,12,2,Larger proportion of severely rent burdened households than City,38.8,6.7,37,3.3,89.8,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,No statistical difference in rent change from City,62,237,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,34.7,21,Not adjacent to neighborhoods with high Market Pressure scores
Maspeth,QN30,Lower,Lower,Lower,Lower,54.8,25.6,1.6,25,2,No statistical difference from the City in the proportion of severely rent burdened households,24.8,3.8,47.7,2.5,100,No statistical difference from the City in the proportion of rent-stabilized households,39.4,9.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,2.4,1.4,No statistical difference in rent change from City,205,122,3.106894805,No statistical difference from the City in the percent change of population with a bachelor's degree,46.5,19.2,Adjacent to neighborhoods with high Market Pressure scores
Melrose South-Mott Haven North,BX34,Highest,Highest,Higher,Highest,97.7,63.4,2.9,26,3,Larger proportion of severely rent burdened households than City,32.9,3.6,91.5,1.4,55.4,No statistical difference from the City in the proportion of rent-stabilized households,48.8,11.4,Larger proportion of units with 3+ maintenance deficiencies than the City,23.7,6.4,Larger rent change than City,276,91,2.868034381,Larger percent change of population with a bachelor's degree than the City,66.6,38.6,Not adjacent to neighborhoods with high Market Pressure scores
Middle Village,QN21,Lower,Lower,Lower,Lower,38.1,22.1,1.6,19,2,No statistical difference from the City in the proportion of severely rent burdened households,26.2,4.2,42,2.3,100,No statistical difference from the City in the proportion of rent-stabilized households,39.4,9.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,2.4,1.4,No statistical difference in rent change from City,146,109,3.106894805,No statistical difference from the City in the percent change of population with a bachelor's degree,27.9,12.5,Adjacent to neighborhoods with high Market Pressure scores
Midtown-Midtown South,MN17,Lowest,Lowest,Intermediate,Higher,50.4,18.1,1.6,7,1,Smaller proportion of severely rent burdened households than City,20.9,2.6,75.5,1.9,96.7,No statistical difference from the City in the proportion of rent-stabilized households,45.4,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.9,2.1,Larger rent change than City,564,245,2.218882145,Smaller percent change of population with a bachelor's degree than the City,10,9.7,Adjacent to neighborhoods with high Market Pressure scores
Midwood,BK43,Higher,Higher,Intermediate,Lower,33.5,38.3,1.8,26,2,Larger proportion of severely rent burdened households than City,36.6,2.9,64.4,1.8,99.3,Larger proportion of households in rent-stabilized units than City,72.1,6.6,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.8,4.4,No statistical difference in rent change from City,128,62,3.335234441,Smaller percent change of population with a bachelor's degree than the City,-1.5,8.2,Adjacent to neighborhoods with high Market Pressure scores
Morningside Heights,MN09,Lower,Lower,Higher,Lowest,59.2,35.2,2.9,11,2,No statistical difference from the City in the proportion of severely rent burdened households,29.6,3.3,78.4,2.1,87.2,Larger proportion of households in rent-stabilized units than City,53.2,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,23.2,6,No statistical difference in rent change from City,179,151,2.831353591,Smaller percent change of population with a bachelor's degree than the City,-1.4,8.4,Not adjacent to neighborhoods with high Market Pressure scores
Morrisania-Melrose,BX35,Highest,Highest,Higher,Higher,98.1,58.7,2.6,26,2,Larger proportion of severely rent burdened households than City,35.8,3.2,91.6,1.4,65.7,No statistical difference from the City in the proportion of rent-stabilized households,45.8,9.7,Larger proportion of units with 3+ maintenance deficiencies than the City,21.2,5.6,No statistical difference in rent change from City,146,88,2.44456771,Larger percent change of population with a bachelor's degree than the City,99,42.5,Adjacent to neighborhoods with high Market Pressure scores
Mott Haven-Port Morris,BX39,Highest,Highest,Higher,Lower,97.3,66.9,2.3,27,2,Larger proportion of severely rent burdened households than City,31.4,2.8,94.2,1.1,51.6,No statistical difference from the City in the proportion of rent-stabilized households,48.8,11.4,Larger proportion of units with 3+ maintenance deficiencies than the City,23.7,6.4,No statistical difference in rent change from City,141,120,2.868034381,No statistical difference from the City in the percent change of population with a bachelor's degree,18.9,23.9,Adjacent to neighborhoods with high Market Pressure scores
Mount Hope,BX41,Highest,Highest,Higher,Lowest,98.5,58.6,2.3,33,2,Larger proportion of severely rent burdened households than City,38,2.9,95.5,1,83.5,Larger proportion of households in rent-stabilized units than City,77,7.4,Larger proportion of units with 3+ maintenance deficiencies than the City,34,7,No statistical difference in rent change from City,143,53,3.527071611,No statistical difference from the City in the percent change of population with a bachelor's degree,33.1,22.4,Not adjacent to neighborhoods with high Market Pressure scores
Murray Hill,QN51,Higher,Highest,Lower,Lowest,80.2,41.2,2.3,53,2,Larger proportion of severely rent burdened households than City,43.4,4.3,55.2,2.2,99.8,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,Smaller rent change than City,84,81,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-35.6,6.5,Not adjacent to neighborhoods with high Market Pressure scores
Murray Hill-Kips Bay,MN20,Lowest,Lowest,Intermediate,Lowest,39,17.2,2.4,9,2,Smaller proportion of severely rent burdened households than City,22.5,3.2,69.8,2.6,97.3,No statistical difference from the City in the proportion of rent-stabilized households,42.9,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,1.8,No statistical difference in rent change from City,266,130,2.144265157,Smaller percent change of population with a bachelor's degree than the City,0.6,8.6,Not adjacent to neighborhoods with high Market Pressure scores
New Brighton-Silver Lake,SI35,Intermediate,Intermediate,Intermediate,Lowest,47.6,28.4,3.3,7,2,Larger proportion of severely rent burdened households than City,39.9,8.6,34.1,4.1,100,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,Smaller rent change than City,-28,155,2.529410412,Smaller percent change of population with a bachelor's degree than the City,10.6,15.2,Not adjacent to neighborhoods with high Market Pressure scores
New Dorp-Midland Beach,SI45,Lowest,Lowest,Intermediate,Lowest,34,19.7,2.7,15,3,No statistical difference from the City in the proportion of severely rent burdened households,30.2,9.6,29.9,4.3,100,Smaller proportion of households in rent-stabilized units than City,2.8,4.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.1,No statistical difference in rent change from City,53,214,2.470837359,No statistical difference from the City in the percent change of population with a bachelor's degree,7.6,16.4,Not adjacent to neighborhoods with high Market Pressure scores
